,Genus,species,Institution,No.,Origin,Element,3rd Molar,2nd Molar,1st Molar,4 Premolar,Side,
Alcelaphini,Alcelaphus,buselaphus ,NMB,12264,,maxilla,2810,2811,2812,2813,left,
Alcelaphini,Alcelaphus,buselaphus ,NMB,12263,,maxilla,2814,2815,2816,2817,left,
Alcelaphini,Alcelaphus,buselaphus ,NMB,12195,Askam,maxilla,2818,2819,2820,2821,left,
Alcelaphini,Alcelaphus,buselaphus ,NMB,12071,Soetdoring,maxilla,2822,2823,2824,2825,left,
Alcelaphini,Alcelaphus,buselaphus ,NMB,12420,,maxilla,2826,2827,2828,2829,left,
Alcelaphini,Alcelaphus,buselaphus ,NMB,12196,Askam,maxilla,2830,2831,2832,2833,left,
Alcelaphini,Alcelaphus,buselaphus ,NMB,12215,,maxilla,2834,2835,2836,2837,left,
Alcelaphini,Alcelaphus,buselaphus ,NMB,9419,Erfeuisdam,maxilla,2838,2839,2840,2841,left,
Alcelaphini,Alcelaphus,buselaphus ,NMB,8715,,maxilla,2842,2843,2844,2845,left,
Alcelaphini,Alcelaphus,buselaphus ,NMB,7437,Smithfield,maxilla,2846,2847,2848,2849,left,
Alcelaphini,Alcelaphus,buselaphus ,NMB,12199,Askam,maxilla,2850,2851,2852,2853,left,
Alcelaphini,Alcelaphus,buselaphus ,NMB,8763,,maxilla,2854,2855,2856,2857,left,Did not use M1 was to broken and blurry
Alcelaphini,Alcelaphus,buselaphus ,NMB,12424,,maxilla,2858,2859,2860,2861,left,
Alcelaphini,Alcelaphus,buselaphus ,NMB,6022,,maxilla,2862,2863,2864,2865,left,
Alcelaphini,Alcelaphus,buselaphus ,NMB,1069,,maxilla,2866,2867,2868,,left,
Alcelaphini,Alcelaphus,buselaphus ,NMB,12096,,maxilla,2933,2934,2935,2936,left,
Alcelaphini,Alcelaphus,buselaphus ,NMB,12369,,maxilla,4134,4135,4136,4137,left,
Alcelaphini,Alcelaphus,buselaphus ,NMB,unnumbered,hornless,maxilla,4138,4139,4140,4141,left,
Alcelaphini,Alcelaphus,buselaphus ,NMB,unnumbered,hornless-with rope,maxilla,4142,4143,4144,4145,left,
Alcelaphini,Alcelaphus,buselaphus ,TM,12046,,maxilla,4741,4742,4743,4744,left,
Alcelaphini,Alcelaphus,buselaphus ,TM,12095,,maxilla,4745,4746,4747,4748,left,
Alcelaphini,Alcelaphus,buselaphus ,TM,AZ 2089,,maxilla,4749,4750,4751/2,,left,Used 4752
Alcelaphini,Alcelaphus,buselaphus ,TM,AZ 2085,,maxilla,4753,4754,4755,4756,left,
Alcelaphini,Alcelaphus,buselaphus ,TM,AZ 449,,maxilla,4757,4758,4759,4760,left,
Alcelaphini,Alcelaphus,buselaphus ,TM,12090,,maxilla,4761L,4762L,4763L,4764L,right,
Alcelaphini,Alcelaphus,buselaphus ,TM,12101,,maxilla,4765,4766,4767,4768,left,
Alcelaphini,Alcelaphus,buselaphus ,TM,AZ 778,,maxilla,4769,4770,4771,4772,left,
Alcelaphini,Alcelaphus,buselaphus ,TM,12098,,maxilla,4774,4775,4776,4777,left,
Alcelaphini,Alcelaphus,buselaphus ,TM,4224,,maxilla,4778,4779,4780,4781,left,
Alcelaphini,Alcelaphus,buselaphus ,TM,AZ 645,,maxilla,4782,4783,4784,4785,left,
,,,,,,,,,,,,
Alcelaphini,Alcelaphus,buselaphus ,TM,12097,,maxilla,4786,4787,4788,4789,left,
,,,,,,,,,,,,
Alcelaphini,Alcelaphus,buselaphus ,TM,12099,,maxilla,4790,4791,4792,4793,left,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Alcelaphini,Alcelaphus,buselaphus ,NMB,6022,,mandible,2869,2870,2871,2872,left,
Alcelaphini,Alcelaphus,buselaphus ,NMB,8763,,mandible,2873,2874,2875,2876,left,probably should not use LM2
Alcelaphini,Alcelaphus,buselaphus ,NMB,12199,,mandible,2877,2878,2879,2880,left,
Alcelaphini,Alcelaphus,buselaphus ,NMB,8715,,mandible,2883,2884,2885,2886,left,probably should not use LM2
Alcelaphini,Alcelaphus,buselaphus ,NMB,12215,,mandible,2887,2888,2889,,left,
Alcelaphini,Alcelaphus,buselaphus ,NMB,12196,,mandible,2890,2891,2892,2893,left,
Alcelaphini,Alcelaphus,buselaphus ,NMB,12420,,mandible,2894,2895,2896,,left,
Alcelaphini,Alcelaphus,buselaphus ,NMB,12071,,mandible,2897,2898,2899,2901,left,
Alcelaphini,Alcelaphus,buselaphus ,NMB,8790,,mandible,2902,2903,2904,2905,left,
Alcelaphini,Alcelaphus,buselaphus ,NMB,12195,,mandible,2906,2907,2908,2909,left,
Alcelaphini,Alcelaphus,buselaphus ,NMB,8787,,mandible,2910L,2912L,2913L,2914,right,
Alcelaphini,Alcelaphus,buselaphus ,NMB,12263,,mandible,2921,2922,2923,2924,left,
Alcelaphini,Alcelaphus,buselaphus ,NMB,12264,,mandible,2925,2926,2927,2928,left,
Alcelaphini,Alcelaphus,buselaphus ,NMB,12096,Soetdoring,mandible,2929,2930,2931,2932,left,
Alcelaphini,Alcelaphus,buselaphus ,NMB,12097,Soetdoring,mandible,4146,4147,4148,,left,
Alcelaphini,Alcelaphus,buselaphus ,NMB,12424,Soetdoring,mandible,4149,4150,4151,4152,left,
Alcelaphini,Alcelaphus,buselaphus ,NMB,12369,,mandible,4153,4154,4155,4156,left,
Alcelaphini,Alcelaphus,buselaphus ,TM,12097,,mandible,4794,4795,4796,4797,left,
Alcelaphini,Alcelaphus,buselaphus ,TM,12098,,mandible,4798,4799,4800,4801,left,
Alcelaphini,Alcelaphus,buselaphus ,TM,12095,,mandible,4802,4803,4805,4804,left,
Alcelaphini,Alcelaphus,buselaphus ,TM,12094,,mandible,4806,4807,4808,4809,left,
Alcelaphini,Alcelaphus,buselaphus ,TM,12101,,mandible,4810L,4811L,4813L,4814,right,
Alcelaphini,Alcelaphus,buselaphus ,TM,4224,,mandible,4815,4816,4817,4818,left,
Alcelaphini,Alcelaphus,buselaphus ,TM,12099,,mandible,4819,4820,4821,4822,left,
Alcelaphini,Alcelaphus,buselaphus ,TM,AZ 778,,mandible,4823,4824,4825,4826,left,
Alcelaphini,Alcelaphus,buselaphus ,TM,AZ 449,,mandible,4827,4828,4829,4830,left,
Alcelaphini,Alcelaphus,buselaphus ,TM,AZ 1229,,mandible,4831,4832,4833,4834,left,
Alcelaphini,Alcelaphus,buselaphus ,TM,12092,,mandible,4835,4836,4837,4838,left,
Alcelaphini,Alcelaphus,buselaphus ,TM,AZ 2089,,mandible,4840L,4841,4842L,4843,right,
Alcelaphini,Alcelaphus,buselaphus ,TM,12096,,mandible,4844L,4845,4846L,4847,right,
,,,,,,,,4850,,,,
Alcelaphini,Alcelaphus,buselaphus ,TM,12100,,mandible,4849,,4851,4852,right,
,,,,,,,,,,,,
