,Genus,species,Institution,No.,Origin,Element,3rd Molar,2nd Molar,1st Molar,4 Premolar,Side,
Antilopini,Antidorcas,marsupialis,NMB,7431,,maxilla,3130,3131,3132,3133,left,
Antilopini,Antidorcas,marsupialis,NMB,7419,,maxilla,3134,3135,3136,3137,left,
Antilopini,Antidorcas,marsupialis,NMB,7424,,maxilla,3138,3139,3140,3141,left,
Antilopini,Antidorcas,marsupialis,NMB,7421,,maxilla,3142,3143,3144,3145,left,
Antilopini,Antidorcas,marsupialis,NMB,7436,,maxilla,3146,3147,3148,3149,left,
Antilopini,Antidorcas,marsupialis,NMB,7419,,maxilla,3150L,3151L,3152L,3153,right,
Antilopini,Antidorcas,marsupialis,NMB,6096,,maxilla,3154L,3155L,3156L,3157,right,
Antilopini,Antidorcas,marsupialis,NMB,7434,,maxilla,3159L,3160L,3161L,3163,right,
Antilopini,Antidorcas,marsupialis,NMB,7435,,maxilla,3164,3165,3166,3167,left,
Antilopini,Antidorcas,marsupialis,NMB,7420,,maxilla,3168,3169,3170,3171,left,
Antilopini,Antidorcas,marsupialis,NMB,7422,,maxilla,3172,3173,3174,3175,left,
Antilopini,Antidorcas,marsupialis,NMB,7423,,maxilla,3176,3177,3178,3179,left,
Antilopini,Antidorcas,marsupialis,NMB,7433,,maxilla,3180,3181,3182,3183,left,
Antilopini,Antidorcas,marsupialis,NMB,7425,,maxilla,3184,3185,3186,3188,left,
Antilopini,Antidorcas,marsupialis,NMB,12108,Rusfonteindam,maxilla,4187,4188,4189,4190,left,
Antilopini,Antidorcas,marsupialis,NMB,12127,Rusfonteindam,maxilla,4191,4192,4193,4194,left,
Antilopini,Antidorcas,marsupialis,NMB,12082,Rusfonteindam,maxilla,4195,4196,,,left,
Antilopini,Antidorcas,marsupialis,NMB,12123,Rusfonteindam,maxilla,4197,4198,4199,4200,left,
Antilopini,Antidorcas,marsupialis,NMB,12104,Rusfonteindam,maxilla,4201,4202,4203,4204,left,
Antilopini,Antidorcas,marsupialis,NMB,12109,Rusfonteindam,maxilla,4205,4206,4207,4208,left,
Antilopini,Antidorcas,marsupialis,NMB,12118,Rusfonteindam,maxilla,4209L,4210L,4211L,4212,right,
Antilopini,Antidorcas,marsupialis,NMB,12119,Rusfonteindam,maxilla,4213,4214,4215,4216,left,
Antilopini,Antidorcas,marsupialis,NMB,12079,Rusfonteindam,maxilla,4217,4218,4219,4220,left,
