,Genus,species,Institution,No.,Origin,Element,3rd Molar,2nd Molar,1st Molar,4 Premolar,Side,
Alcelaphini,Connochaetes,gnou,NMB,12401,Gariepdam,maxilla,2518,2519,2520,2521,left,
Alcelaphini,Connochaetes,gnou,NMB,12407,Gariepdam,maxilla,2526,2528,2529,2530,left,
Alcelaphini,Connochaetes,gnou,NMB,12217,Marasdeel,maxilla,2533,2534,2538,2539,left,
Alcelaphini,Connochaetes,gnou,NMB,12414,Gariepdam,maxilla,2540,2541,2542,2544,left,
Alcelaphini,Connochaetes,gnou,NMB,12553,,maxilla,2547,2548,2549,2550,left,
Alcelaphini,Connochaetes,gnou,NMB,12562,,maxilla,2551,2552,2553,2554,left,
Alcelaphini,Connochaetes,gnou,NMB,12057,,maxilla,2559,2560,2561,,left,
Alcelaphini,Connochaetes,gnou,NMB,9358,,maxilla,2562,2563,2564,2565,left,
Alcelaphini,Connochaetes,gnou,NMB,12408,Gariepdam,maxilla,2567,2568,2569,2570,left,
Alcelaphini,Connochaetes,gnou,NMB,12392,Gariepdam,maxilla,2572,2573,2574,2575,left,
Alcelaphini,Connochaetes,gnou,NMB,12415,,maxilla,2576,2577,2578,2579,left,
Alcelaphini,Connochaetes,gnou,NMB,12418,Gariepdam,maxilla,2581,2582,2583,2584,left,
Alcelaphini,Connochaetes,gnou,NMB,12419,Gariepdam,maxilla,2585,2586,2587,2588,left,
Alcelaphini,Connochaetes,gnou,NMB,12323,Dealesville,maxilla,2590,2591,2592,,left,
Alcelaphini,Connochaetes,gnou,NMB,12399,,maxilla,2597,2598,2599,2600,left,
Alcelaphini,Connochaetes,gnou,NMB,12218,Marasdeel,maxilla,2601,2602,2603,2604,left,
Alcelaphini,Connochaetes,gnou,NMB,8866,Erfeniusdam,maxilla,2606,2607,2608,2609,left,
Alcelaphini,Connochaetes,gnou,NMB,12056,Sterkfontein,maxilla,2700,2701,2702,2703,left,
Alcelaphini,Connochaetes,gnou,NMB,8761,,maxilla,2739,2740,2741,2742,left,
Alcelaphini,Connochaetes,gnou,NMB,80,,maxilla,3114,3115,3116,,left,
Alcelaphini,Connochaetes,gnou,NMB,96,,maxilla,3117,3118,,,left,
Alcelaphini,Connochaetes,gnou,NMB,81,,maxilla,3120L,3122L,3123L,,right,
Alcelaphini,Connochaetes,gnou,NMB,85,,maxilla,3124,3125,,,left,cannot use UM2- too broken
Alcelaphini,Connochaetes,gnou,NMB,6010,,maxilla,4157L,4158L,4159L,4160,right,
Alcelaphini,Connochaetes,gnou,TM,AZ 777,,maxilla,4691,4692,4694,4695,left,
Alcelaphini,Connochaetes,gnou,TM,MRI 30,,maxilla,4696,4697,4698,4699,left,
Alcelaphini,Connochaetes,gnou,TM,AZ 2139,,maxilla,4700,4701,4702,4703,left,
Alcelaphini,Connochaetes,gnou,TM,41282,,maxilla,4704,4705,4706,4707,left,
Alcelaphini,Connochaetes,gnou,TM,AZ 445,,maxilla,4708,4709,4710,4711,left,
Alcelaphini,Connochaetes,gnou,TM,13175,,maxilla,4712L,4713L,4714L,4715,right,
,,,,,,,,,2,6,,
,Mandible,,,,,,,,,,,
,,,,,,,,,,,,
Alcelaphini,Connochaetes,gnou,NMB,8854,,mandible,2610,2611,2612,2613,left,
Alcelaphini,Connochaetes,gnou,NMB,12399,,mandible,2614,2615,2616,2617,left,
Alcelaphini,Connochaetes,gnou,NMB,12323,,mandible,2618,2619,2620,2621,left,
Alcelaphini,Connochaetes,gnou,NMB,12218,,mandible,2622,2623,2624,2625,left,
Alcelaphini,Connochaetes,gnou,NMB,12394,,mandible,2626,2627,2628,2629,left,
Alcelaphini,Connochaetes,gnou,NMB,12408,,mandible,2630,2631,2632,2633,left,
Alcelaphini,Connochaetes,gnou,NMB,12322,,mandible,2634,2635,2636,2637,left,
Alcelaphini,Connochaetes,gnou,NMB,12562,,mandible,2638,2639,2640,2641,left,
Alcelaphini,Connochaetes,gnou,NMB,12057,,mandible,2642,2643,2644,2645,left,
Alcelaphini,Connochaetes,gnou,NMB,8770,,mandible,2646L,2647L,2648L,,right,
Alcelaphini,Connochaetes,gnou,NMB,2945,,mandible,2649,2650,2651,,left,
Alcelaphini,Connochaetes,gnou,NMB,8814,,mandible,2652L,2653L,2654L,2655,right,
Alcelaphini,Connochaetes,gnou,NMB,8777,,mandible,2656L,2657L,2658L,2659,right,
Alcelaphini,Connochaetes,gnou,NMB,8776,,mandible,2660L,2661L,2662L,2663,right,
Alcelaphini,Connochaetes,gnou,NMB,8771,,mandible,2664L,2665L,2666L,2667,right,
Alcelaphini,Connochaetes,gnou,NMB,9413,,mandible,2668,2669,2670,,left,
Alcelaphini,Connochaetes,gnou,NMB,8853,,mandible,2671L,2672L,2673L,,right,
Alcelaphini,Connochaetes,gnou,NMB,1596,,mandible,2674,2675,2676,,left,
Alcelaphini,Connochaetes,gnou,NMB,8773,,mandible,2677,2678,2679,,left,
Alcelaphini,Connochaetes,gnou,NMB,6011,,mandible,2680,2681,2682,2683,left,
Alcelaphini,Connochaetes,gnou,NMB,9411,,mandible,2684L,2685L,2686L,2687,right,
Alcelaphini,Connochaetes,gnou,NMB,12418,,mandible,2688,2689,2690,2691,left,
