,Genus,species,Institution,No.,Origin,Element,3rd Molar,2nd Molar,1st Molar,4 Premolar,Side,
Hippotragini,Hippotragus,niger,NMB,183,,maxilla,3927,3928,3929,,left,2ndmolar too broken
Hippotragini,Hippotragus,niger,NMB,178,,maxilla,3930,3931,3932,,left,
Hippotragini,Hippotragus,niger,NMB,177,,maxilla,3933,3934,3935,,left,
Hippotragini,Hippotragus,niger,NMB,232,,maxilla,3937L,3938L,3940,,right,
Hippotragini,Hippotragus,niger,NMB,893,,maxilla,3940,3941,3942,3943,left,
Hippotragini,Hippotragus,niger,NMB,176,,maxilla,3944,3945,3946,3947,left,3945 too broken
Hippotragini,Hippotragus,niger,TM,13136,,maxilla,5850L,5851,5852L,,right,Are these 3951?
Hippotragini,Hippotragus,niger,TM,AZ 1856,,maxilla,5853,5854,5855,5856,left,
Hippotragini,Hippotragus,niger,TM,AZ 1256,,maxilla,5857,5858,5859,5860,left,don't use 5857
Hippotragini,Hippotragus,niger,TM,16998,,maxilla,5861,5862,5863,5864,left,
Hippotragini,Hippotragus,niger,TM,AZ 127,,maxilla,5865,5866,5867,5868,left,
Hippotragini,Hippotragus,niger,TM,13150,,maxilla,5869,5870,5871,5872 RIGHT,left,
Hippotragini,Hippotragus,niger,TM,16997,,maxilla,5873,5874,5875,5876,left,
Hippotragini,Hippotragus,niger,TM,17000,,maxilla,5877,5878,5879,5880,left,
Hippotragini,Hippotragus,niger,TM,13140,,maxilla,5881,5882,5883,5884,left,
Hippotragini,Hippotragus,niger,TM,13145,,maxilla,5885L,5886,5887,5888,left,3rd molar was right
Hippotragini,Hippotragus,niger,TM,13152,,maxilla,5889,5890,5891,5893 right,left,5891 bad
Hippotragini,Hippotragus,niger,TM,13147,,maxilla,5894L,5895L,,,right,
Hippotragini,Hippotragus,niger,TM,13131,,maxilla,5896L,5897,5898,5899 right,left,3rd molar was right
Hippotragini,Hippotragus,niger,TM,4250,,maxilla,5900,5901,5902,,left,
Hippotragini,Hippotragus,niger,TM,13132,,maxilla,5903,5904,5905,5906,left,
Hippotragini,Hippotragus,niger,TM,3812,,maxilla,5907,5908,5909,5910,left,
Hippotragini,Hippotragus,niger,TM,16999,,maxilla,5911,5912,5913,5914,left,
Hippotragini,Hippotragus,niger,TM,AZ 1094,,maxilla,5915,5916,5917,5918,left,
Hippotragini,Hippotragus,niger,TM,3093,,maxilla,5920,5921,5922,5923,left,
Hippotragini,Hippotragus,niger,TM,16996,,maxilla,5924,5925,5926,,left,
Hippotragini,Hippotragus,niger,TM,16995,,maxilla,5927L,5928,5929,5930,left,3rd molar was right
Hippotragini,Hippotragus,niger,TM,11484,,maxilla,5931,5932,5933,5934,left,
Hippotragini,Hippotragus,niger,TM,3816,,maxilla,5935,5936,5937,5938,left,5937 too bad to use
Hippotragini,Hippotragus,niger,TM,13143,,maxilla,5939,5940,5941,5942,left,
,,,,,,,,,,,,
Hippotragini,Hippotragus,niger,TM,4251,,maxilla,5943/44,5945,5946,5947,left,stopped here for UM3
Hippotragini,Hippotragus,niger,TM,4253,,maxilla,5948,5949,5950,5951,left,
Hippotragini,Hippotragus,niger,TM,13138,,maxilla,5952,5953,5954,5955 RIGHT,left,
Hippotragini,Hippotragus,niger,TM,13148,,maxilla,5956,5957,5958 RIGHT,5960,left,
Hippotragini,Hippotragus,niger,TM,13154,,maxilla,5961,5962,5963,5964,left,
Hippotragini,Hippotragus,niger,TM,13151,,maxilla,5965 RIGHT,5966,5967,5968,left,
,,,,,,,,,,2,,
,,,,,,,,,,,,
Hippotragini,Hippotragus,niger,NMB,176,,mandible,3948,3949,3950,3951,left,
Hippotragini,Hippotragus,niger,TM,13136,,mandible,5969,5970,5971,5972,left,
Hippotragini,Hippotragus,niger,TM,4251,,mandible,5973,5974,,5975,left,
Hippotragini,Hippotragus,niger,TM,13130,,mandible,5976,5977,5978,5979,left,
Hippotragini,Hippotragus,niger,TM,3812,,mandible,5980L,5981L,5982L,5983,right,
Hippotragini,Hippotragus,niger,TM,13153,,mandible,5984,5985,5986,5987,left,
Hippotragini,Hippotragus,niger,TM,13143,,mandible,5988,5989,5990,5991,left,
Hippotragini,Hippotragus,niger,TM,13136,,mandible,5992,5993,5994,5995,left,
Hippotragini,Hippotragus,niger,TM,13138,,mandible,5996,5997,5998,5999,left,
Hippotragini,Hippotragus,niger,TM,3816,,mandible,6000,6001,,6002,left,
Hippotragini,Hippotragus,niger,TM,13148,,mandible,6003L,6004,6005L,6006,right,
Hippotragini,Hippotragus,niger,TM,13132,,mandible,6007,6008,6009,6010,left,
Hippotragini,Hippotragus,niger,TM,13147,,mandible,6011,6012,6014?,6013,left,6014 too worn down
Hippotragini,Hippotragus,niger,TM,16672,,mandible,6015,6016,6017,6018,left,
Hippotragini,Hippotragus,niger,TM,AZ 127,,mandible,6019,6020,6022,6023,left,
Hippotragini,Hippotragus,niger,TM,AZ 1856,,mandible,6024,6025,6026,6027,left,
Hippotragini,Hippotragus,niger,TM,AZ 1265,,mandible,6028,6029,6030,6031,left,
,Hippotragus,niger,,,,mandible,,,,,,
,Hippotragus,niger,,,,mandible,,,,,,
,Hippotragus,niger,,,,mandible,,,,,,
,Hippotragus,niger,,,,mandible,,,,,,
