,Genus,species,Institution,No.,Origin,Element,3rd Molar,2nd Molar,1st Molar,4 Premolar,Side,,
Reduncini,Kobus,leche,NMB,8714,,maxilla,3525L,3526L,3527L,3528,right,,
Reduncini,Kobus,leche,TM,17091,,maxilla,6581,6582,6583,6584,left,,
Reduncini,Kobus,leche,TM,35477,,maxilla,6585,6586,6587,6588,left,,
Reduncini,Kobus,leche,TM,35471,,maxilla,6589,6590,6591,6592,left,,
Reduncini,Kobus,leche,TM,35482,,maxilla,6593,6594,6595,6596,left,,
Reduncini,Kobus,leche,TM,35472,,maxilla,6597,6598,6599,,left,,
Reduncini,Kobus,leche,TM,35476,,maxilla,6600,6601,6602,6603,left,,
Reduncini,Kobus,leche,TM,35479,,maxilla,6604,6605,6606,,left,,
Reduncini,Kobus,leche,TM,17115,,maxilla,6607,6608,6609,6610,left,,
Reduncini,Kobus,leche,TM,35467,,maxilla,6611,6612,6613,6614,left,,
Reduncini,Kobus,leche,TM,35468,,maxilla,6615,6616,6617,6618,left,,
Reduncini,Kobus,leche,TM,35507,,maxilla,6619L,6620,6621,6622,left,mandible looks funny,third molar was right
Reduncini,Kobus,leche,TM,17102,,maxilla,6623,6624,6625,6626,left,,
Reduncini,Kobus,leche,TM,35484,,maxilla,6627,6628,6629,6630,left,,
Reduncini,Kobus,leche,TM,35481,,maxilla,6631,6632,6633,6634,left,,
Reduncini,Kobus,leche,TM,35470,,maxilla,6635,6636,6637,6638,left,,
Reduncini,Kobus,leche,TM,35485,,maxilla,6639L,6640,6641,,left,third molar was right,
Reduncini,Kobus,leche,TM,16708,,maxilla,6642,6643,6644,6645/6646,left,,
Reduncini,Kobus,leche,TM,35469,,maxilla,6647,6648,6649,,left,,
Reduncini,Kobus,leche,TM,AZ 621,,maxilla,6650,6651,6652,,left,,
Reduncini,Kobus,leche,TM,35475,,maxilla,6653,6654,6655,6656,left,,
Reduncini,Kobus,leche,TM,17139,,maxilla,6657,6658,6659,6660,left,,
Reduncini,Kobus,leche,TM,AZ 539,,maxilla,6661,6662,6663,6664,left,,
Reduncini,Kobus,leche,TM,17103,,maxilla,6665,6666,6667,6668,left,,
,Kobus,leche,,,,maxilla,,,,,,,
,Kobus,leche,,,,maxilla,,,,,,,
,Kobus,leche,,,,maxilla,,,,,,,
,Kobus,leche,,,,maxilla,,,,,,,
,Kobus,leche,,,,maxilla,,,,,,,
,Kobus,leche,,,,maxilla,,,,,,,
,,,,,,,,,,,,,
Reduncini,Kobus,leche,NMB,8714,,mandible,3521,3522,3523,3524,left,,
Reduncini,Kobus,leche,TM,17103,,mandible,6669,6670L right,6671,6672,left,,
Reduncini,Kobus,leche,TM,17139,,mandible,6673,6674,6675,6676,left,,
Reduncini,Kobus,leche,TM,35475,,mandible,6677,6678,6679,6680,left,,
Reduncini,Kobus,leche,TM,35472,,mandible,6681,6682,6688L,6683,left,6688 was right,
Reduncini,Kobus,leche,TM,35476,,mandible,6684,6685,6686,6687,left,,
Reduncini,Kobus,leche,TM,35479,,mandible,6689L,,6690L,6691,right,,
Reduncini,Kobus,leche,TM,35482,,mandible,6692,6693,6694,6695 right,left,,
Reduncini,Kobus,leche,TM,35477,,mandible,6696L,6697L,6698L,6699,right,,
Reduncini,Kobus,leche,TM,17115,,mandible,6700,6701,6702,6703,left,,
Reduncini,Kobus,leche,TM,35467,,mandible,6704,6705,6706,6707,left,,
Reduncini,Kobus,leche,TM,17124,,mandible,6708,6709,6710,,left,,
Reduncini,Kobus,leche,TM,35471,,mandible,6711/6712,6713,6714,6715,left,,
Reduncini,Kobus,leche,TM,AZ 539,,mandible,6716,6717,6718,6719,left,,
Reduncini,Kobus,leche,TM,35469,,mandible,6720,6721,6722,,left,,
Reduncini,Kobus,leche,TM,35468,,mandible,6723,6724,6725,6726,left,,
Reduncini,Kobus,leche,TM,17102,,mandible,6727,6728,6729,6730,left,,
Reduncini,Kobus,leche,TM,16708,,mandible,6731,6732,6733,6734,left,,
Reduncini,Kobus,leche,TM,35481,,mandible,6735,6736,6737,6738,left,,
Reduncini,Kobus,leche,TM,35484,,mandible,6739,6740,6741,6742,left,,
Reduncini,Kobus,leche,TM,35480,,mandible,6743,6744,6745,6746,left,,
Reduncini,Kobus,leche,TM,35470,,mandible,6747,6748,6749L,6750,left,6749 right,
Reduncini,Kobus,leche,TM,35485,,mandible,6753,6755L,6756,6757,left,6755 was right,
Reduncini,Kobus,leche,TM,AZ 780,,mandible,6758,6759,6760,6761,left,maybe don't use 6760- it's pretty worn,
,Kobus,leche,,,,mandible,,,,,,,
,Kobus,leche,,,,mandible,,,,,,,
,Kobus,leche,,,,mandible,,,,,,,
,Kobus,leche,,,,mandible,,,,,,,
,Kobus,leche,,,,mandible,,,,,,,
,Kobus,leche,,,,mandible,,,,,,,
