,Genus,species,Institution,No.,Origin,Element,3rd Molar,2nd Molar,1st Molar,4 Premolar,Side,
Hippotragini,Oryx,gazella,NMB,12181,Askam,maxilla,3798,3799,3800,3801,left,
Hippotragini,Oryx,gazella,NMB,12094,Soetdoring,maxilla,3802,3803,3804,3805,left,
Hippotragini,Oryx,gazella,NMB,9330,,maxilla,3806L,3807,3808L,3809,right,
Hippotragini,Oryx,gazella,NMB,250,,maxilla,3810,3811,3812,3813,left,
Hippotragini,Oryx,gazella,NMB,12180,Askam,maxilla,3814,3815,3816,3817,left,
Hippotragini,Oryx,gazella,NMB,9304,,maxilla,3818,3819,3820,3821,left,
Hippotragini,Oryx,gazella,NMB,12188,Askam,maxilla,3822,3823,3824,3825,left,
Hippotragini,Oryx,gazella,NMB,12352,Tussen-die-riviere,maxilla,,3826,3827,,left,
Hippotragini,Oryx,gazella,NMB,9335,,maxilla,3828,3830,3831,3832,left,
Hippotragini,Oryx,gazella,NMB,9376,Dwaalfontein,maxilla,3833,3834,3835,3836,left,3835 too worn
Hippotragini,Oryx,gazella,NMB,12213,F.S.,maxilla,3837,3838,3839,3840,left,3839 too broken
Hippotragini,Oryx,gazella,NMB,12179,,maxilla,3841,3842,3843,3844,left,"3843, yes it sucks but needs to be done"
Hippotragini,Oryx,gazella,NMB,12182,Askam,maxilla,3845,3846,3847,3848,left,
Hippotragini,Oryx,gazella,TM,AZ 815,,maxilla,6032,6033,6034,6035,left,
Hippotragini,Oryx,gazella,TM,AZ 475,,maxilla,6036,6037,,6038,left,
Hippotragini,Oryx,gazella,TM,AZ 3097,,maxilla,6039L,6040,6041,,right,
Hippotragini,Oryx,gazella,TM,AZ 1576,,maxilla,6042,6043,6044,6045,left,6044 too worn
Hippotragini,Oryx,gazella,,,,maxilla,,,,,,
,Oryx,gazella,,,,maxilla,,,,,,
,Oryx,gazella,,,,maxilla,,,,,,
,Oryx,gazella,,,,maxilla,,,,,,
,Oryx,gazella,,,,maxilla,,,,,,
,Oryx,gazella,,,,maxilla,,,,,,
,Oryx,gazella,,,,maxilla,,,,,,
,Oryx,gazella,,,,maxilla,,,,,,
,Oryx,gazella,,,,maxilla,,,,,,
,Oryx,gazella,,,,maxilla,,,,,,
,Oryx,gazella,,,,maxilla,,,,,,
,Oryx,gazella,,,,maxilla,,,,,,
,Oryx,gazella,,,,maxilla,,,,,,
,,,,,,,,,,,,
Hippotragini,Oryx,gazella,NMB,12182,Askam,mandible,3850,3851,3852,3853,left,
Hippotragini,Oryx,gazella,NMB,9335,,mandible,3854,3855,3856,3857,left,
Hippotragini,Oryx,gazella,NMB,9376,,mandible,3858,3859,,,left,3859 tool old and worn
Hippotragini,Oryx,gazella,NMB,9304,,mandible,3861L,3862,3863L,3864,right,
Hippotragini,Oryx,gazella,NMB,12213,,mandible,3865,3866,3867,3868,left,
Hippotragini,Oryx,gazella,NMB,12352,,mandible,,3870,3871,,left,
Hippotragini,Oryx,gazella,NMB,12188,,mandible,3872,3873,3874,3875,left,
Hippotragini,Oryx,gazella,NMB,250,,mandible,3876,3877,3878,3879,left,
Hippotragini,Oryx,gazella,NMB,12180,,mandible,3880,3881,3882,3883,left,"3880 is not a picture of LM3, it is LM2"
Hippotragini,Oryx,gazella,NMB,12094,,mandible,3884,3885,3886,3918,left,"3884 looks funny, had to make it bigger for scale, weird"
Hippotragini,Oryx,gazella,NMB,12181,Askam,mandible,3919,3920,3921,3922,left,
Hippotragini,Oryx,gazella,NMB,12179,,mandible,3923,3924,3925,3926,left,3925 too worn
Hippotragini,Oryx,gazella,TM,AZ 1576,,mandible,6046,6047L,6048L,6049,right,
Hippotragini,Oryx,gazella,TM,AZ 475,,mandible,6050,6051L,6052L,6053/6054,right,
Hippotragini,Oryx,gazella,TM,AZ 815,,mandible,6055,6056,6057,6058,left,
Hippotragini,Oryx,gazella,,,,mandible,,,,,,
,Oryx,gazella,,,,mandible,,,,,,
,Oryx,gazella,,,,mandible,,,,,,
,Oryx,gazella,,,,mandible,,,,,,
,Oryx,gazella,,,,mandible,,,,,,
,Oryx,gazella,,,,mandible,1 mandible in the Hippotragini file,,,,,
,Oryx,gazella,,,,mandible,,,,,,
,Oryx,gazella,,,,mandible,,,,,,
,Oryx,gazella,,,,mandible,,,,,,
,Oryx,gazella,,,,mandible,,,,,,
,Oryx,gazella,,,,mandible,,,,,,
,Oryx,gazella,,,,mandible,,,,,,
,Oryx,gazella,,,,mandible,,,,,,
,Oryx,gazella,,,,mandible,,,,,,
,Oryx,gazella,,,,mandible,,,,,,
