,Genus,species,Institution,No.,Origin,Element,3rd Molar,2nd Molar,1st Molar,4 Premolar,Side,
Neotragini,Oreotragus,oreotragus,TM,13956,,maxilla,5503,5504,5505,5506,left,
Neotragini,Oreotragus,oreotragus,TM,13550,,maxilla,5507,5508,5509,5510,left,
Neotragini,Oreotragus,oreotragus,TM,14845,,maxilla,5511,5512,5513,5514,left,
Neotragini,Oreotragus,oreotragus,TM,13367,,maxilla,5515,5516,5517,5518,left,
Neotragini,Oreotragus,oreotragus,TM,13283,,maxilla,5519,5520,5521,5522,left,
Neotragini,Oreotragus,oreotragus,TM,673,,maxilla,5523,5524L,5525,,left,"5524 was right, I made it left"
Neotragini,Oreotragus,oreotragus,TM,9606,,maxilla,5526,5527L,5528,5529,left,"5527 was right, I made it left"
Neotragini,Oreotragus,oreotragus,TM,13376,,maxilla,,5530,5531,,left,
Neotragini,Oreotragus,oreotragus,TM,1550,,maxilla,5533,5534,5535L,5536,left,"5535 was right, I made it left"
Neotragini,Oreotragus,oreotragus,TM,11720,,maxilla,5537,5538,5539,5540,left,
Neotragini,Oreotragus,oreotragus,TM,8355,,maxilla,5541,5542,5543,5544,left,
Neotragini,Oreotragus,oreotragus,TM,3134,,maxilla,5545,5546,5547,5548,left,
Neotragini,Oreotragus,oreotragus,TM,14844,,maxilla,5549,5550,5551,5552,left,
Neotragini,Oreotragus,oreotragus,,,,maxilla,,,,,,
Neotragini,Oreotragus,oreotragus,,,,maxilla,,,,,,
,Oreotragus,oreotragus,,,,maxilla,,,,,,
,Oreotragus,oreotragus,,,,maxilla,,,,,,
,Oreotragus,oreotragus,,,,maxilla,,,,,,
,Oreotragus,oreotragus,,,,maxilla,,,,,,
,Oreotragus,oreotragus,,,,maxilla,,,,,,
,Oreotragus,oreotragus,,,,maxilla,,,,,,
,Oreotragus,oreotragus,,,,maxilla,,,,,,
,Oreotragus,oreotragus,,,,maxilla,,,,,,
,Oreotragus,oreotragus,,,,maxilla,,,,,,
,Oreotragus,oreotragus,,,,maxilla,,,,,,
,Oreotragus,oreotragus,,,,maxilla,,,,,,
,Oreotragus,oreotragus,,,,maxilla,,,,,,
,Oreotragus,oreotragus,,,,maxilla,,,,,,
,Oreotragus,oreotragus,,,,maxilla,,,,,,
,Oreotragus,oreotragus,,,,maxilla,,,,,,
,,,,,,,,,,,,
Neotragini,Oreotragus,oreotragus,TM,13367,,mandible,5553,5554,5555,5556,left,
Neotragini,Oreotragus,oreotragus,TM,3134,,mandible,5557,5558,5559,5560,left,
Neotragini,Oreotragus,oreotragus,TM,1550,,mandible,5561,5562,5563,5564,left,
Neotragini,Oreotragus,oreotragus,TM,13283,,mandible,5565,5566,5567,5568,left,
Neotragini,Oreotragus,oreotragus,TM,14844,,mandible,5569,5570,5571,5572,left,
Neotragini,Oreotragus,oreotragus,TM,11720,,mandible,5573,5574,5575,5576,left,
Neotragini,Oreotragus,oreotragus,TM,673,,mandible,5577,5578,5579,,left,
Neotragini,Oreotragus,oreotragus,TM,8355,,mandible,5580,5581,5582,5583,left,
Neotragini,Oreotragus,oreotragus,TM,AZ 2930,,mandible,5584,5585,5586,5587,left,
Neotragini,Oreotragus,oreotragus,TM,9606,,mandible,5588,5589,5590,5591,left,
Neotragini,Oreotragus,oreotragus,TM,AZ 2932,,mandible,5592,5593,5594,5595,left,
Neotragini,Oreotragus,oreotragus,TM,3134,,mandible,5596,5597,5598,5599,left,
Neotragini,Oreotragus,oreotragus,TM,,,mandible,,,,,,
Neotragini,Oreotragus,oreotragus,TM,,,mandible,,,,,,
Neotragini,Oreotragus,oreotragus,TM,,,mandible,,,,,,
Neotragini,Oreotragus,oreotragus,,,,mandible,,,,,,
,Oreotragus,oreotragus,,,,mandible,,,,,,
,Oreotragus,oreotragus,,,,mandible,,,,,,
,Oreotragus,oreotragus,,,,mandible,,,,,,
,Oreotragus,oreotragus,,,,mandible,,,,,,
,Oreotragus,oreotragus,,,,mandible,,,,,,
,Oreotragus,oreotragus,,,,mandible,,,,,,
,Oreotragus,oreotragus,,,,mandible,,,,,,
,Oreotragus,oreotragus,,,,mandible,,,,,,
,Oreotragus,oreotragus,,,,mandible,,,,,,
,Oreotragus,oreotragus,,,,mandible,,,,,,
,Oreotragus,oreotragus,,,,mandible,,,,,,
,Oreotragus,oreotragus,,,,mandible,,,,,,
,Oreotragus,oreotragus,,,,mandible,,,,,,
,Oreotragus,oreotragus,,,,mandible,,,,,,
