,Genus,species,sub,Institution,No.,Origin,Element,3rd Molar,2nd Molar,1st Molar,4 Premolar,Side,
Neotragini,Ourebia,ourebi,,NMB,9319,Eastern Cape,maxilla,3782,3783,3784,3785,left,cannot  use UM3
Neotragini,Ourebia,ourebi,,NMB,9752,Cape,maxilla,3786,3787,3788,3789,left,
Neotragini,Ourebia,ourebi,,TM,AZ 2228,,maxilla,5600,5601,5602,5603,left,
Neotragini,Ourebia,ourebi,,TM,12111,,maxilla,5604,5605,5606,5607,left,5605 broken and blurry
Neotragini,Ourebia,ourebi,,TM,4726,,maxilla,5608,5609,5610,5611,left,
Neotragini,Ourebia,ourebi,,TM,17077,,maxilla,5612,5613,5614,5615,left,5614 prob too worn
Neotragini,Ourebia,ourebi,,TM,12109,,maxilla,5616,5617,5618,5619,left,
Neotragini,Ourebia,ourebi,,TM,11564,,maxilla,5620,5621,5622,5623,left,
Neotragini,Ourebia,ourebi,,TM,17128,,maxilla,5624,5625,5626,5627,left,
Neotragini,Ourebia,ourebi,,,,,maxilla,,,,,,
,Ourebia,ourebi,,,,,maxilla,,,,,,
,Ourebia,ourebi,,,,,maxilla,,,,,,
,Ourebia,ourebi,,,,,maxilla,,,,,,
,Ourebia,ourebi,,,,,maxilla,,,,,,
,Ourebia,ourebi,,,,,maxilla,,,,,,
,Ourebia,ourebi,,,,,maxilla,,,,,,
,Ourebia,ourebi,,,,,maxilla,,,,,,
,Ourebia,ourebi,,,,,maxilla,,,,,,
,Ourebia,ourebi,,,,,maxilla,,,,,,
,Ourebia,ourebi,,,,,maxilla,,,,,,
,Ourebia,ourebi,,,,,maxilla,,,,,,
,Ourebia,ourebi,,,,,maxilla,,,,,,
,Ourebia,ourebi,,,,,maxilla,,,,,,
,Ourebia,ourebi,,,,,maxilla,,,,,,
,Ourebia,ourebi,,,,,maxilla,,,,,,
,Ourebia,ourebi,,,,,maxilla,,,,,,
,Ourebia,ourebi,,,,,maxilla,,,,,,
,Ourebia,ourebi,,,,,maxilla,,,,,,
,Ourebia,ourebi,,,,,maxilla,,,,,,
,Ourebia,ourebi,,,,,maxilla,,,,,,
,,,,,,,,,,,,,
Neotragini,Ourebia,ourebi,,NMB,9319,Eastern Cape,mandible,3790L,3791L,3792L,3793,right,
Neotragini,Ourebia,ourebi,,NMB,9752,Cape,mandible,3794,3795,3796,3797,left,
Neotragini,Ourebia,ourebi,,TM,12112,,mandible,5628,5629,5630,5631,left,
Neotragini,Ourebia,ourebi,,TM,17077,,mandible,5632,5633,5634,5635,left,
Neotragini,Ourebia,ourebi,,TM,17128,,mandible,5636,5637,5638,5639,left,
Neotragini,Ourebia,ourebi,,TM,11564,,mandible,5640,5641,5642,5643,left,
Neotragini,Ourebia,ourebi,,TM,4726,,mandible,5644,5645,5646,5647,left,
Neotragini,Ourebia,ourebi,,TM,12109,,mandible,5648,5649,5650,5651,left,
Neotragini,Ourebia,ourebi,,TM,AZ 2228,,mandible,5652 LEFT ,5653L,5654L,5655,right,
,Ourebia,ourebi,,,,,mandible,,,,,,
,Ourebia,ourebi,,,,,mandible,,,,,,
,Ourebia,ourebi,,,,,mandible,,,,,,
,Ourebia,ourebi,,,,,mandible,,,,,,
,Ourebia,ourebi,,,,,mandible,,,,,,
,Ourebia,ourebi,,,,,mandible,,,,,,
,Ourebia,ourebi,,,,,mandible,,,,,,
,Ourebia,ourebi,,,,,mandible,,,,,,
,Ourebia,ourebi,,,,,mandible,,,,,,
,Ourebia,ourebi,,,,,mandible,,,,,,
,Ourebia,ourebi,,,,,mandible,,,,,,
,Ourebia,ourebi,,,,,mandible,,,,,,
,Ourebia,ourebi,,,,,mandible,,,,,,
,Ourebia,ourebi,,,,,mandible,,,,,,
,Ourebia,ourebi,,,,,mandible,,,,,,
,Ourebia,ourebi,,,,,mandible,,,,,,
,Ourebia,ourebi,,,,,mandible,,,,,,
,Ourebia,ourebi,,,,,mandible,,,,,,
,Ourebia,ourebi,,,,,mandible,,,,,,
,Ourebia,ourebi,,,,,mandible,,,,,,
,Ourebia,ourebi,,,,,mandible,,,,,,
