,Genus,species,Institution,No.,Origin,Element,3rd Molar,2nd Molar,1st Molar,4 Premolar,Side,
Neotragini,Pelea,capreolus,NMB,6878,,maxilla,3755,3756,3757,3758,left,
Neotragini,Pelea,capreolus,NMB,9855,,maxilla,3759,3760,3761,3762,left,
Neotragini,Pelea,capreolus,NMB,9446,Jagersfontein,maxilla,3763L,3764L,3765,3766,right,
Neotragini,Pelea,capreolus,TM,694,,maxilla,5656,5657L,5658,5659,left,"5657 was right, I made it left"
Neotragini,Pelea,capreolus,TM,AZ 526,,maxilla,5660L,5661,5662,5663,left,3rd molar was right
Neotragini,Pelea,capreolus,TM,10005,,maxilla,5664,5665,5666,5667,left,
Neotragini,Pelea,capreolus,TM,10007,,maxilla,5668,5669,5670,5671,left,
Neotragini,Pelea,capreolus,TM,693,,maxilla,5672,,,5673 right,left,
Neotragini,Pelea,capreolus,TM,16709,,maxilla,5674,5675,5676,5677,left,
Neotragini,Pelea,capreolus,TM,AZ 479,,maxilla,5678,5679,5680,5681/2,left,
,Pelea,capreolus,,,,maxilla,,,,,,
,Pelea,capreolus,,,,maxilla,,,,,,
,Pelea,capreolus,,,,maxilla,,,,,,
,Pelea,capreolus,,,,maxilla,,,,,,
,Pelea,capreolus,,,,maxilla,,,,,,
,Pelea,capreolus,,,,maxilla,,,,,,
,Pelea,capreolus,,,,maxilla,,,,,,
,Pelea,capreolus,,,,maxilla,,,,,,
,Pelea,capreolus,,,,maxilla,,,,,,
,Pelea,capreolus,,,,maxilla,,,,,,
,Pelea,capreolus,,,,maxilla,,,,,,
,Pelea,capreolus,,,,maxilla,,,,,,
,Pelea,capreolus,,,,maxilla,,,,,,
,Pelea,capreolus,,,,maxilla,,,,,,
,Pelea,capreolus,,,,maxilla,,,,,,
,Pelea,capreolus,,,,maxilla,,,,,,
,Pelea,capreolus,,,,maxilla,,,,,,
,Pelea,capreolus,,,,maxilla,,,,,,
,Pelea,capreolus,,,,maxilla,,,,,,
,Pelea,capreolus,,,,maxilla,,,,,,
,,,,,,,,,,,,
Neotragini,Pelea,capreolus,NMB,9446,,mandible,3767L,3768L,3769L,3771,right,
Neotragini,Pelea,capreolus,NMB,9855,,mandible,3772,3773,3774,3775,left,
Neotragini,Pelea,capreolus,NMB,6878,,mandible,3776L,3777L,3778L,3780,right,
Neotragini,Pelea,capreolus,TM,16709,,mandible,5683,5684,5685,5686,left,
Neotragini,Pelea,capreolus,TM,AZ 479,,mandible,5687,5688,5689,5690,left,
Neotragini,Pelea,capreolus,TM,10007,,mandible,5691,5692,5693,5694,left,
Neotragini,Pelea,capreolus,TM,10005,,mandible,5695,5696,5697,5698,left,
Neotragini,Pelea,capreolus,TM,693,,mandible,5699,5700,5701,5702,left,
Neotragini,Pelea,capreolus,TM,AZ 526,,mandible,5703,5704,5705,5706,left,
Neotragini,Pelea,capreolus,TM,694,,mandible,5707L,5708L,5709,,right,
,Pelea,capreolus,,,,mandible,,,,,,
,Pelea,capreolus,,,,mandible,,,,,,
,Pelea,capreolus,,,,mandible,,,,,,
,Pelea,capreolus,,,,mandible,,,,,,
,Pelea,capreolus,,,,mandible,,,,,,
,Pelea,capreolus,,,,mandible,,,,,,
,Pelea,capreolus,,,,mandible,,,,,,
,Pelea,capreolus,,,,mandible,,,,,,
,Pelea,capreolus,,,,mandible,,,,,,
,Pelea,capreolus,,,,mandible,,,,,,
,Pelea,capreolus,,,,mandible,,,,,,
,Pelea,capreolus,,,,mandible,,,,,,
,Pelea,capreolus,,,,mandible,,,,,,
,Pelea,capreolus,,,,mandible,,,,,,
,Pelea,capreolus,,,,mandible,,,,,,
,Pelea,capreolus,,,,mandible,,,,,,
,Pelea,capreolus,,,,mandible,,,,,,
,Pelea,capreolus,,,,mandible,,,,,,
,Pelea,capreolus,,,,mandible,,,,,,
,Pelea,capreolus,,,,mandible,,,,,,
