,Genus,Species,Institution,No.,Origin,Element,3rd Molar,2nd Molar,1st Molar,4 Premolar,Side,
Tragelaphini,Tragelaphus,scriptus,NMB,599,,maxilla,,3323,3324,,left,
Tragelaphini,Tragelaphus,scriptus,NMB,219,,maxilla,,3325,3326,,left,
Tragelaphini,Tragelaphus,scriptus,NMB,12100,,maxilla,3327,3328,3329,3330,left,
Tragelaphini,Tragelaphus,scriptus,NMB,A 996,,maxilla,3331L,,,,right,3331 too broken to use
Tragelaphini,Tragelaphus,scriptus,TM,13255,,maxilla,4921,4922,4923,4924,left,
Tragelaphini,Tragelaphus,scriptus,TM,38914,,maxilla,4925,4926,4927,4928,left,
Tragelaphini,Tragelaphus,scriptus,TM,3215,,maxilla,4929,4930,4931,4932,left,
Tragelaphini,Tragelaphus,scriptus,TM,38919,,maxilla,4933,4934,4935,4936,left,
Tragelaphini,Tragelaphus,scriptus,TM,38932,,maxilla,4937,4938,4939,4940,left,
Tragelaphini,Tragelaphus,scriptus,TM,38930,,maxilla,4941,4942,4943,4944,left,
Tragelaphini,Tragelaphus,scriptus,TM,38942,,maxilla,4945,4946,4947,4948,left,
Tragelaphini,Tragelaphus,scriptus,TM,11506,,maxilla,4949,4950,4951,4952,left,
Tragelaphini,Tragelaphus,scriptus,TM,13251,,maxilla,4953L,4954L,4955L,4956,right,
Tragelaphini,Tragelaphus,scriptus,TM,38926,,maxilla,4957,4958,4959,4960,left,
Tragelaphini,Tragelaphus,scriptus,TM,38925,,maxilla,4961,4962,4963,4964,left,
Tragelaphini,Tragelaphus,scriptus,TM,16430,,maxilla,4965,4966,4967,4968,left,
Tragelaphini,Tragelaphus,scriptus,TM,38916,,maxilla,4969,4970,4971,4972,left,
Tragelaphini,Tragelaphus,scriptus,TM,13252,,maxilla,4973L,4974L,4975L,4976,right,
Tragelaphini,Tragelaphus,scriptus,TM,38927,,maxilla,4978,4979,4980,4981,left,
Tragelaphini,Tragelaphus,scriptus,TM,39,,maxilla,4982,4983,4984,4985,left,
Tragelaphini,Tragelaphus,scriptus,TM,13258,,maxilla,4986,4987,4988,4989,left,
Tragelaphini,Tragelaphus,scriptus,TM,1855,,maxilla,4990,4991,4992,4993,left,
Tragelaphini,Tragelaphus,scriptus,TM,38938,,maxilla,4994,4995,4996,4997,left,
Tragelaphini,Tragelaphus,scriptus,TM,38931,,maxilla,4998,4999,5000,5001,left,
Tragelaphini,Tragelaphus,scriptus,TM,38936,,maxilla,5002,5003,5004,5005,left,maybe don't use 5003
Tragelaphini,Tragelaphus,scriptus,TM,38933,,maxilla,5006,5007,5008,5009,left,
Tragelaphini,Tragelaphus,scriptus,TM,38934,,maxilla,5010,5011,5012,5013,left,
Tragelaphini,Tragelaphus,scriptus,TM,38937,,maxilla,5014,5015,5016,5017,left,
Tragelaphini,Tragelaphus,scriptus,TM,38929,,maxilla,5022,5023,5024,5021,left,
Tragelaphini,Tragelaphus,scriptus,TM,38917,,maxilla,5025,5026,5027,5028,left,
Tragelaphini,Tragelaphus,scriptus,TM,38920,,maxilla,5029,5030,5031,5032,left,
Tragelaphini,Tragelaphus,scriptus,TM,38913,,maxilla,5033,5034,5035,5036,left,
,,,,,,,,,,,,
Tragelaphini,Tragelaphus,scriptus,TM,38922,,maxilla,5039,5040,5041,5042,left,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Tragelaphini,Tragelaphus,scriptus,NMB,12100,,mandible,3332,3333,3334,3336,left,
Tragelaphini,Tragelaphus,scriptus,NMB,8903,,mandible,3337L,3338L,3339,3340,left,3337 and 3338 were right
Tragelaphini,Tragelaphus,scriptus,TM,13255,,mandible,5043,5044,5045,5046,left,
Tragelaphini,Tragelaphus,scriptus,TM,38914,,mandible,5047L,5048,5049,5050,left,5047 was L
Tragelaphini,Tragelaphus,scriptus,TM,38919,,mandible,5055,5052,5053,5054,left,
Tragelaphini,Tragelaphus,scriptus,TM,38932,,mandible,5056,5057,5058,5059,left,
Tragelaphini,Tragelaphus,scriptus,TM,38930,,mandible,5061,5062,5063,5064,left,
Tragelaphini,Tragelaphus,scriptus,TM,11506,,mandible,5065,5066,5067,5068,left,
Tragelaphini,Tragelaphus,scriptus,TM,38926,,mandible,5069,5070,5071,5072,left,
