,Genus,Species,sub,Institution,No.,Origin,Element,3rd Molar,2nd Molar,1st Molar,4 Premolar,Side,
Tragelaphini,Tragelaphus,strepsiceros,,NMB,No number #3,,maxilla,3345,3346,3347,3348,left,
Tragelaphini,Tragelaphus,strepsiceros,,NMB,9848,,maxilla,3349,3350,3351,3352,left,
Tragelaphini,Tragelaphus,strepsiceros,,NMB,No number #4,,maxilla,,3353,3354,,left,
Tragelaphini,Tragelaphus,strepsiceros,,NMB,9366,,maxilla,3355L,3356L,3357L,3358,right,
Tragelaphini,Tragelaphus,strepsiceros,,NMB,12355,Soetdoring,maxilla,4328,4330,4331,4332,left,
Tragelaphini,Tragelaphus,strepsiceros,,NMB,9332,,maxilla,,,4333,,left,
Tragelaphini,Tragelaphus,strepsiceros,,NMB,6009,,maxilla,4334L,4335L,4336L,4337,right,
Tragelaphini,Tragelaphus,strepsiceros,,TM,3293,,maxilla,5161,5162,5163,5164,left,
Tragelaphini,Tragelaphus,strepsiceros,,TM,676,,maxilla,5165,5166,5167,,left,
Tragelaphini,Tragelaphus,strepsiceros,,TM,13095,,maxilla,,5168L,5169L,5170,right,
Tragelaphini,Tragelaphus,strepsiceros,,TM,3300,,maxilla,,,5171,5172,left,
Tragelaphini,Tragelaphus,strepsiceros,,TM,13088,,maxilla,5173L,5174L,5175L,,right,
Tragelaphini,Tragelaphus,strepsiceros,,TM,13098,,maxilla,5176,,,,left,
Tragelaphini,Tragelaphus,strepsiceros,,TM,16658,,maxilla,5177,5178,5179,5180,left,
Tragelaphini,Tragelaphus,strepsiceros,,TM,AZ 1570,,maxilla,5181,5182,5183,5184,left,
Tragelaphini,Tragelaphus,strepsiceros,,TM,16707,,maxilla,5185,5186,5187,5188,left,
Tragelaphini,Tragelaphus,strepsiceros,,TM,1083,,maxilla,5189L,5190L,5191L,5192 left,right,
Tragelaphini,Tragelaphus,strepsiceros,,TM,3818,,maxilla,5193L,5194L,5195L,5196,right,
Tragelaphini,Tragelaphus,strepsiceros,,TM,13097,,maxilla,5197,5198,5199,5200,left,
Tragelaphini,Tragelaphus,strepsiceros,,TM,16601,,maxilla,5201,5202,5203,5204,left,
Tragelaphini,Tragelaphus,strepsiceros,,TM,13096,,maxilla,5205,5206,5207,5208,left,
Tragelaphini,Tragelaphus,strepsiceros,,TM,3819,,maxilla,5209,5210,5211,5212,left,
Tragelaphini,Tragelaphus,strepsiceros,,TM,686,,maxilla,5213L,5214L,5215L,5216,right,
Tragelaphini,Tragelaphus,strepsiceros,,TM,AZ 1260,,maxilla,5217L,5218L,5219L,,right,looks funny
Tragelaphini,Tragelaphus,strepsiceros,,TM,3296,,maxilla,5220L,5221L,,,right,
Tragelaphini,Tragelaphus,strepsiceros,,TM,13174,,maxilla,,5222,5223,,left,
Tragelaphini,Tragelaphus,strepsiceros,,TM,AZ 152,,maxilla,5224,5225,5226L,5227,left,
Tragelaphini,Tragelaphus,strepsiceros,,TM,3297,,maxilla,5228,5229,5230,5231,left,
Tragelaphini,Tragelaphus,strepsiceros,,TM,1050,,maxilla,,5232,5233,5234 right,left,
Tragelaphini,Tragelaphus,strepsiceros,,TM,2174,,maxilla,5236,5237,5238,5235 right,left,
Tragelaphini,Tragelaphus,strepsiceros,,TM,AZ 1261,,maxilla,5313,5314,5315,,left,
Tragelaphini,Tragelaphus,strepsiceros,,TM,2188,,maxilla,5316,5317,5318,5319,left,
Tragelaphini,,,,,,,,,,,,,
Tragelaphini,Tragelaphus,strepsiceros,,TM,AZ 33,,maxilla,5320L,5321L,5322,,right,
Tragelaphini,Tragelaphus,strepsiceros,,TM,AZ 32,,maxilla,5323L,5324L,5325,5326,right,
,,,,,,,,2,,,4,,
,,,,,,,,,,,,,
Tragelaphini,Tragelaphus,strepsiceros,,NMB,No number #4,,mandible,3359,3360,3361,3362,left,
Tragelaphini,Tragelaphus,strepsiceros,,NMB,9848,,mandible,3364,3365,3366,3367,left,
Tragelaphini,Tragelaphus,strepsiceros,,NMB,No number #2,,mandible,3368,3369,3370,3372,left,
Tragelaphini,Tragelaphus,strepsiceros,,NMB,9933,,mandible,4338,4339,4340,4341,left,do not use 4340
Tragelaphini,Tragelaphus,strepsiceros,,NMB,12355,Soetdoring,mandible,4342,4343,4345,4346,left,
Tragelaphini,Tragelaphus,strepsiceros,,TM,3293,,mandible,5239,5240,5241,5242,left,
Tragelaphini,Tragelaphus,strepsiceros,,TM,3297,,mandible,,5243,5244,5245,left,
Tragelaphini,Tragelaphus,strepsiceros,,TM,AZ 1260,,mandible,5246,5247,5248,5249,left,weird
Tragelaphini,Tragelaphus,strepsiceros,,TM,AZ 152,,mandible,5250,5251,5252,5253,left,
Tragelaphini,Tragelaphus,strepsiceros,,TM,13096,,mandible,5254,5255,5256,5257,left,
Tragelaphini,Tragelaphus,strepsiceros,,TM,686,,mandible,5258,5259,5260,5261,left,
Tragelaphini,Tragelaphus,strepsiceros,,TM,10991,,mandible,5262,5263,5264,5265,left,
Tragelaphini,Tragelaphus,strepsiceros,,TM,16707,,mandible,5266,5267,5268,5269,left,
Tragelaphini,Tragelaphus,strepsiceros,,TM,K 34,,mandible,5270L was R,5271,5272,5273,left,
Tragelaphini,Tragelaphus,strepsiceros,,TM,3818,,mandible,5274,5275L,5276L,5277,right,5274 says right but looks left
Tragelaphini,Tragelaphus,strepsiceros,,TM,11507,,mandible,5278,5279,5280,5281,left,do not use 5280
Tragelaphini,Tragelaphus,strepsiceros,,TM,13097,,mandible,5282,5283,5284,5285,left,
Tragelaphini,Tragelaphus,strepsiceros,,TM,AZ 2819,,mandible,5286,5287,5288,5289,left,
Tragelaphini,Tragelaphus,strepsiceros,,TM,CR 676,,mandible,5290,5291,5292,,left,
Tragelaphini,Tragelaphus,strepsiceros,,TM,13098,,mandible,5293,5294,5295,5296,left,
Tragelaphini,Tragelaphus,strepsiceros,,TM,16658,,mandible,5297,5298L,5299L,5300,right,5297 says right but looks left
Tragelaphini,Tragelaphus,strepsiceros,,TM,13094,,mandible,5301,5302,5303,5304,left,
Tragelaphini,Tragelaphus,strepsiceros,,TM,4246,,mandible,5305,5306,5307,5308,left,
Tragelaphini,Tragelaphus,strepsiceros,,TM,AZ 1261,,mandible,5309,5310,5311,5312,left,
,Tragelaphus,strepsiceros,,,,,mandible,,,,,,
,Tragelaphus,strepsiceros,,,,,mandible,,,,,,
,Tragelaphus,strepsiceros,,,,,mandible,,,,,,
,Tragelaphus,strepsiceros,,,,,mandible,,,,,,
,Tragelaphus,strepsiceros,,,,,mandible,,,,,,
,Tragelaphus,strepsiceros,,,,,mandible,,,,,,
